"year","month","day","start","end","length","date"
2016,7,"2",2017-08-21 04:52:00,2017-08-21 20:59:00,"16:06:22",2016-07-02
2016,7,"3",2017-08-21 04:53:00,2017-08-21 20:58:00,"16:05:20",2016-07-03
2016,7,"4",2017-08-21 04:54:00,2017-08-21 20:58:00,"16:04:13",2016-07-04
2016,7,"5",2017-08-21 04:54:00,2017-08-21 20:57:00,"16:03:00",2016-07-05
2016,7,"6",2017-08-21 04:55:00,2017-08-21 20:57:00,"16:01:44",2016-07-06
2016,7,"7",2017-08-21 04:56:00,2017-08-21 20:56:00,"16:00:22",2016-07-07
2016,7,"8",2017-08-21 04:57:00,2017-08-21 20:56:00,"15:58:56",2016-07-08
2016,7,"9",2017-08-21 04:58:00,2017-08-21 20:55:00,"15:57:25",2016-07-09
2016,7,"10",2017-08-21 04:59:00,2017-08-21 20:55:00,"15:55:50",2016-07-10
2016,7,"11",2017-08-21 05:00:00,2017-08-21 20:54:00,"15:54:10",2016-07-11
2016,7,"12",2017-08-21 05:01:00,2017-08-21 20:53:00,"15:52:26",2016-07-12
2016,7,"13",2017-08-21 05:02:00,2017-08-21 20:52:00,"15:50:38",2016-07-13
2016,7,"14",2017-08-21 05:03:00,2017-08-21 20:51:00,"15:48:46",2016-07-14
2016,7,"15",2017-08-21 05:04:00,2017-08-21 20:51:00,"15:46:50",2016-07-15
2016,7,"16",2017-08-21 05:05:00,2017-08-21 20:50:00,"15:44:50",2016-07-16
2016,7,"17",2017-08-21 05:06:00,2017-08-21 20:49:00,"15:42:47",2016-07-17
2016,7,"18",2017-08-21 05:07:00,2017-08-21 20:48:00,"15:40:39",2016-07-18
2016,7,"19",2017-08-21 05:08:00,2017-08-21 20:47:00,"15:38:28",2016-07-19
2016,7,"20",2017-08-21 05:09:00,2017-08-21 20:46:00,"15:36:14",2016-07-20
2016,7,"21",2017-08-21 05:11:00,2017-08-21 20:45:00,"15:33:56",2016-07-21
2016,7,"22",2017-08-21 05:12:00,2017-08-21 20:43:00,"15:31:35",2016-07-22
2016,7,"23",2017-08-21 05:13:00,2017-08-21 20:42:00,"15:29:10",2016-07-23
2016,7,"24",2017-08-21 05:14:00,2017-08-21 20:41:00,"15:26:43",2016-07-24
2016,7,"25",2017-08-21 05:16:00,2017-08-21 20:40:00,"15:24:12",2016-07-25
2016,7,"26",2017-08-21 05:17:00,2017-08-21 20:38:00,"15:21:39",2016-07-26
2016,7,"27",2017-08-21 05:18:00,2017-08-21 20:37:00,"15:19:02",2016-07-27
2016,7,"28",2017-08-21 05:19:00,2017-08-21 20:36:00,"15:16:23",2016-07-28
2016,7,"29",2017-08-21 05:21:00,2017-08-21 20:34:00,"15:13:42",2016-07-29
2016,7,"30",2017-08-21 05:22:00,2017-08-21 20:33:00,"15:10:58",2016-07-30
2016,7,"31",2017-08-21 05:23:00,2017-08-21 20:32:00,"15:08:11",2016-07-31
2016,8,"1",2017-08-21 05:25:00,2017-08-21 20:30:00,"15:05:22",2016-08-01
2016,8,"2",2017-08-21 05:26:00,2017-08-21 20:29:00,"15:02:31",2016-08-02
2016,8,"3",2017-08-21 05:27:00,2017-08-21 20:27:00,"14:59:37",2016-08-03
2016,8,"4",2017-08-21 05:29:00,2017-08-21 20:25:00,"14:56:41",2016-08-04
2016,8,"5",2017-08-21 05:30:00,2017-08-21 20:24:00,"14:53:44",2016-08-05
2016,8,"6",2017-08-21 05:32:00,2017-08-21 20:22:00,"14:50:44",2016-08-06
2016,8,"7",2017-08-21 05:33:00,2017-08-21 20:21:00,"14:47:43",2016-08-07
2016,8,"8",2017-08-21 05:34:00,2017-08-21 20:19:00,"14:44:39",2016-08-08
2016,8,"9",2017-08-21 05:36:00,2017-08-21 20:17:00,"14:41:34",2016-08-09
2016,8,"10",2017-08-21 05:37:00,2017-08-21 20:16:00,"14:38:28",2016-08-10
2016,8,"11",2017-08-21 05:39:00,2017-08-21 20:14:00,"14:35:20",2016-08-11
2016,8,"12",2017-08-21 05:40:00,2017-08-21 20:12:00,"14:32:10",2016-08-12
2016,8,"13",2017-08-21 05:41:00,2017-08-21 20:10:00,"14:28:59",2016-08-13
2016,8,"14",2017-08-21 05:43:00,2017-08-21 20:09:00,"14:25:46",2016-08-14
2016,8,"15",2017-08-21 05:44:00,2017-08-21 20:07:00,"14:22:32",2016-08-15
2016,8,"16",2017-08-21 05:46:00,2017-08-21 20:05:00,"14:19:17",2016-08-16
2016,8,"17",2017-08-21 05:47:00,2017-08-21 20:03:00,"14:16:01",2016-08-17
2016,8,"18",2017-08-21 05:48:00,2017-08-21 20:01:00,"14:12:44",2016-08-18
2016,8,"19",2017-08-21 05:50:00,2017-08-21 19:59:00,"14:09:25",2016-08-19
2016,8,"20",2017-08-21 05:51:00,2017-08-21 19:57:00,"14:06:05",2016-08-20
2016,8,"21",2017-08-21 05:53:00,2017-08-21 19:55:00,"14:02:45",2016-08-21
2016,8,"22",2017-08-21 05:54:00,2017-08-21 19:53:00,"13:59:23",2016-08-22
2016,8,"23",2017-08-21 05:56:00,2017-08-21 19:52:00,"13:56:01",2016-08-23
2016,8,"24",2017-08-21 05:57:00,2017-08-21 19:50:00,"13:52:37",2016-08-24
2016,8,"25",2017-08-21 05:58:00,2017-08-21 19:48:00,"13:49:13",2016-08-25
2016,8,"26",2017-08-21 06:00:00,2017-08-21 19:46:00,"13:45:48",2016-08-26
2016,8,"27",2017-08-21 06:01:00,2017-08-21 19:44:00,"13:42:23",2016-08-27
2016,8,"28",2017-08-21 06:03:00,2017-08-21 19:42:00,"13:38:56",2016-08-28
2016,8,"29",2017-08-21 06:04:00,2017-08-21 19:40:00,"13:35:29",2016-08-29
2016,8,"30",2017-08-21 06:06:00,2017-08-21 19:38:00,"13:32:01",2016-08-30
2016,8,"31",2017-08-21 06:07:00,2017-08-21 19:35:00,"13:28:33",2016-08-31
2016,9,"1",2017-08-21 06:08:00,2017-08-21 19:33:00,"13:25:04",2016-09-01
2016,9,"2",2017-08-21 06:10:00,2017-08-21 19:31:00,"13:21:35",2016-09-02
2016,9,"3",2017-08-21 06:11:00,2017-08-21 19:29:00,"13:18:05",2016-09-03
2016,9,"4",2017-08-21 06:13:00,2017-08-21 19:27:00,"13:14:34",2016-09-04
2016,9,"5",2017-08-21 06:14:00,2017-08-21 19:25:00,"13:11:04",2016-09-05
2016,9,"6",2017-08-21 06:15:00,2017-08-21 19:23:00,"13:07:32",2016-09-06
2016,9,"7",2017-08-21 06:17:00,2017-08-21 19:21:00,"13:04:01",2016-09-07
2016,9,"8",2017-08-21 06:18:00,2017-08-21 19:19:00,"13:00:29",2016-09-08
2016,9,"9",2017-08-21 06:20:00,2017-08-21 19:17:00,"12:56:57",2016-09-09
2016,9,"10",2017-08-21 06:21:00,2017-08-21 19:15:00,"12:53:24",2016-09-10
2016,9,"11",2017-08-21 06:23:00,2017-08-21 19:12:00,"12:49:51",2016-09-11
2016,9,"12",2017-08-21 06:24:00,2017-08-21 19:10:00,"12:46:18",2016-09-12
2016,9,"13",2017-08-21 06:25:00,2017-08-21 19:08:00,"12:42:45",2016-09-13
2016,9,"14",2017-08-21 06:27:00,2017-08-21 19:06:00,"12:39:11",2016-09-14
2016,9,"15",2017-08-21 06:28:00,2017-08-21 19:04:00,"12:35:37",2016-09-15
2016,9,"16",2017-08-21 06:30:00,2017-08-21 19:02:00,"12:32:03",2016-09-16
2016,9,"17",2017-08-21 06:31:00,2017-08-21 19:00:00,"12:28:29",2016-09-17
2016,9,"18",2017-08-21 06:33:00,2017-08-21 18:58:00,"12:24:55",2016-09-18
2016,9,"19",2017-08-21 06:34:00,2017-08-21 18:55:00,"12:21:21",2016-09-19
2016,9,"20",2017-08-21 06:35:00,2017-08-21 18:53:00,"12:17:46",2016-09-20
2016,9,"21",2017-08-21 06:37:00,2017-08-21 18:51:00,"12:14:12",2016-09-21
2016,9,"22",2017-08-21 06:38:00,2017-08-21 18:49:00,"12:10:37",2016-09-22
2016,9,"23",2017-08-21 06:40:00,2017-08-21 18:47:00,"12:07:02",2016-09-23
2016,9,"24",2017-08-21 06:41:00,2017-08-21 18:45:00,"12:03:27",2016-09-24
2016,9,"25",2017-08-21 06:43:00,2017-08-21 18:43:00,"11:59:53",2016-09-25
2016,9,"26",2017-08-21 06:44:00,2017-08-21 18:40:00,"11:56:18",2016-09-26
2016,9,"27",2017-08-21 06:46:00,2017-08-21 18:38:00,"11:52:43",2016-09-27
2016,9,"28",2017-08-21 06:47:00,2017-08-21 18:36:00,"11:49:08",2016-09-28
2016,9,"29",2017-08-21 06:48:00,2017-08-21 18:34:00,"11:45:34",2016-09-29
2016,9,"30",2017-08-21 06:50:00,2017-08-21 18:32:00,"11:41:59",2016-09-30
2016,10,"1",2017-08-21 06:51:00,2017-08-21 18:30:00,"11:38:25",2016-10-01
2016,10,"2",2017-08-21 06:53:00,2017-08-21 18:28:00,"11:34:50",2016-10-02
2016,10,"3",2017-08-21 06:54:00,2017-08-21 18:26:00,"11:31:16",2016-10-03
2016,10,"4",2017-08-21 06:56:00,2017-08-21 18:24:00,"11:27:42",2016-10-04
2016,10,"5",2017-08-21 06:57:00,2017-08-21 18:21:00,"11:24:08",2016-10-05
2016,10,"6",2017-08-21 06:59:00,2017-08-21 18:19:00,"11:20:35",2016-10-06
2016,10,"7",2017-08-21 07:00:00,2017-08-21 18:17:00,"11:17:01",2016-10-07
2016,10,"8",2017-08-21 07:02:00,2017-08-21 18:15:00,"11:13:28",2016-10-08
2016,10,"9",2017-08-21 07:03:00,2017-08-21 18:13:00,"11:09:56",2016-10-09
2016,10,"10",2017-08-21 07:05:00,2017-08-21 18:11:00,"11:06:23",2016-10-10
2016,10,"11",2017-08-21 07:06:00,2017-08-21 18:09:00,"11:02:51",2016-10-11
2016,10,"12",2017-08-21 07:08:00,2017-08-21 18:07:00,"10:59:20",2016-10-12
2016,10,"13",2017-08-21 07:09:00,2017-08-21 18:05:00,"10:55:49",2016-10-13
2016,10,"14",2017-08-21 07:11:00,2017-08-21 18:03:00,"10:52:18",2016-10-14
2016,10,"15",2017-08-21 07:12:00,2017-08-21 18:01:00,"10:48:48",2016-10-15
2016,10,"16",2017-08-21 07:14:00,2017-08-21 17:59:00,"10:45:18",2016-10-16
2016,10,"17",2017-08-21 07:15:00,2017-08-21 17:57:00,"10:41:49",2016-10-17
2016,10,"18",2017-08-21 07:17:00,2017-08-21 17:55:00,"10:38:21",2016-10-18
2016,10,"19",2017-08-21 07:19:00,2017-08-21 17:53:00,"10:34:53",2016-10-19
2016,10,"20",2017-08-21 07:20:00,2017-08-21 17:52:00,"10:31:26",2016-10-20
2016,10,"21",2017-08-21 07:22:00,2017-08-21 17:50:00,"10:28:00",2016-10-21
2016,10,"22",2017-08-21 07:23:00,2017-08-21 17:48:00,"10:24:34",2016-10-22
2016,10,"23",2017-08-21 07:25:00,2017-08-21 17:46:00,"10:21:10",2016-10-23
2016,10,"24",2017-08-21 07:26:00,2017-08-21 17:44:00,"10:17:46",2016-10-24
2016,10,"25",2017-08-21 07:28:00,2017-08-21 17:42:00,"10:14:23",2016-10-25
2016,10,"26",2017-08-21 07:30:00,2017-08-21 17:41:00,"10:11:01",2016-10-26
2016,10,"27",2017-08-21 07:31:00,2017-08-21 17:39:00,"10:07:40",2016-10-27
2016,10,"28",2017-08-21 07:33:00,2017-08-21 17:37:00,"10:04:21",2016-10-28
2016,10,"29",2017-08-21 07:34:00,2017-08-21 17:35:00,"10:01:02",2016-10-29
2016,10,"30",2017-08-21 06:36:00,2017-08-21 16:34:00,"9:57:45",2016-10-30
2016,10,"31",2017-08-21 06:38:00,2017-08-21 16:32:00,"9:54:29",2016-10-31
2016,11,"1",2017-08-21 06:39:00,2017-08-21 16:30:00,"9:51:15",2016-11-01
2016,11,"2",2017-08-21 06:41:00,2017-08-21 16:29:00,"9:48:02",2016-11-02
2016,11,"3",2017-08-21 06:42:00,2017-08-21 16:27:00,"9:44:50",2016-11-03
2016,11,"4",2017-08-21 06:44:00,2017-08-21 16:26:00,"9:41:40",2016-11-04
2016,11,"5",2017-08-21 06:46:00,2017-08-21 16:24:00,"9:38:32",2016-11-05
2016,11,"6",2017-08-21 06:47:00,2017-08-21 16:23:00,"9:35:26",2016-11-06
2016,11,"7",2017-08-21 06:49:00,2017-08-21 16:21:00,"9:32:21",2016-11-07
2016,11,"8",2017-08-21 06:50:00,2017-08-21 16:20:00,"9:29:18",2016-11-08
2016,11,"9",2017-08-21 06:52:00,2017-08-21 16:18:00,"9:26:18",2016-11-09
2016,11,"10",2017-08-21 06:54:00,2017-08-21 16:17:00,"9:23:19",2016-11-10
2016,11,"11",2017-08-21 06:55:00,2017-08-21 16:16:00,"9:20:23",2016-11-11
2016,11,"12",2017-08-21 06:57:00,2017-08-21 16:14:00,"9:17:29",2016-11-12
2016,11,"13",2017-08-21 06:58:00,2017-08-21 16:13:00,"9:14:38",2016-11-13
2016,11,"14",2017-08-21 07:00:00,2017-08-21 16:12:00,"9:11:49",2016-11-14
2016,11,"15",2017-08-21 07:01:00,2017-08-21 16:10:00,"9:09:03",2016-11-15
2016,11,"16",2017-08-21 07:03:00,2017-08-21 16:09:00,"9:06:20",2016-11-16
2016,11,"17",2017-08-21 07:04:00,2017-08-21 16:08:00,"9:03:39",2016-11-17
2016,11,"18",2017-08-21 07:06:00,2017-08-21 16:07:00,"9:01:01",2016-11-18
2016,11,"19",2017-08-21 07:08:00,2017-08-21 16:06:00,"8:58:27",2016-11-19
2016,11,"20",2017-08-21 07:09:00,2017-08-21 16:05:00,"8:55:55",2016-11-20
2016,11,"21",2017-08-21 07:11:00,2017-08-21 16:04:00,"8:53:27",2016-11-21
2016,11,"22",2017-08-21 07:12:00,2017-08-21 16:03:00,"8:51:02",2016-11-22
2016,11,"23",2017-08-21 07:13:00,2017-08-21 16:02:00,"8:48:41",2016-11-23
2016,11,"24",2017-08-21 07:15:00,2017-08-21 16:01:00,"8:46:23",2016-11-24
2016,11,"25",2017-08-21 07:16:00,2017-08-21 16:00:00,"8:44:09",2016-11-25
2016,11,"26",2017-08-21 07:18:00,2017-08-21 16:00:00,"8:41:59",2016-11-26
2016,11,"27",2017-08-21 07:19:00,2017-08-21 15:59:00,"8:39:53",2016-11-27
2016,11,"28",2017-08-21 07:20:00,2017-08-21 15:58:00,"8:37:50",2016-11-28
2016,11,"29",2017-08-21 07:22:00,2017-08-21 15:58:00,"8:35:53",2016-11-29
2016,11,"30",2017-08-21 07:23:00,2017-08-21 15:57:00,"8:33:59",2016-11-30
2016,12,"1",2017-08-21 07:24:00,2017-08-21 15:57:00,"8:32:10",2016-12-01
2016,12,"2",2017-08-21 07:26:00,2017-08-21 15:56:00,"8:30:25",2016-12-02
2016,12,"3",2017-08-21 07:27:00,2017-08-21 15:56:00,"8:28:45",2016-12-03
2016,12,"4",2017-08-21 07:28:00,2017-08-21 15:55:00,"8:27:10",2016-12-04
2016,12,"5",2017-08-21 07:29:00,2017-08-21 15:55:00,"8:25:39",2016-12-05
2016,12,"6",2017-08-21 07:30:00,2017-08-21 15:55:00,"8:24:14",2016-12-06
2016,12,"7",2017-08-21 07:32:00,2017-08-21 15:54:00,"8:22:53",2016-12-07
2016,12,"8",2017-08-21 07:33:00,2017-08-21 15:54:00,"8:21:38",2016-12-08
2016,12,"9",2017-08-21 07:34:00,2017-08-21 15:54:00,"8:20:28",2016-12-09
2016,12,"10",2017-08-21 07:35:00,2017-08-21 15:54:00,"8:19:23",2016-12-10
2016,12,"11",2017-08-21 07:36:00,2017-08-21 15:54:00,"8:18:23",2016-12-11
2016,12,"12",2017-08-21 07:37:00,2017-08-21 15:54:00,"8:17:29",2016-12-12
2016,12,"13",2017-08-21 07:37:00,2017-08-21 15:54:00,"8:16:40",2016-12-13
2016,12,"14",2017-08-21 07:38:00,2017-08-21 15:54:00,"8:15:57",2016-12-14
2016,12,"15",2017-08-21 07:39:00,2017-08-21 15:54:00,"8:15:20",2016-12-15
2016,12,"16",2017-08-21 07:40:00,2017-08-21 15:55:00,"8:14:48",2016-12-16
2016,12,"17",2017-08-21 07:41:00,2017-08-21 15:55:00,"8:14:22",2016-12-17
2016,12,"18",2017-08-21 07:41:00,2017-08-21 15:55:00,"8:14:02",2016-12-18
2016,12,"19",2017-08-21 07:42:00,2017-08-21 15:56:00,"8:13:47",2016-12-19
2016,12,"20",2017-08-21 07:42:00,2017-08-21 15:56:00,"8:13:38",2016-12-20
2016,12,"21",2017-08-21 07:43:00,2017-08-21 15:57:00,"8:13:35",2016-12-21
2016,12,"22",2017-08-21 07:43:00,2017-08-21 15:57:00,"8:13:38",2016-12-22
2016,12,"23",2017-08-21 07:44:00,2017-08-21 15:58:00,"8:13:46",2016-12-23
2016,12,"24",2017-08-21 07:44:00,2017-08-21 15:58:00,"8:14:01",2016-12-24
2016,12,"25",2017-08-21 07:45:00,2017-08-21 15:59:00,"8:14:21",2016-12-25
2016,12,"26",2017-08-21 07:45:00,2017-08-21 16:00:00,"8:14:47",2016-12-26
2016,12,"27",2017-08-21 07:45:00,2017-08-21 16:00:00,"8:15:18",2016-12-27
2016,12,"28",2017-08-21 07:45:00,2017-08-21 16:01:00,"8:15:55",2016-12-28
2016,12,"29",2017-08-21 07:45:00,2017-08-21 16:02:00,"8:16:38",2016-12-29
2016,12,"30",2017-08-21 07:46:00,2017-08-21 16:03:00,"8:17:27",2016-12-30
2016,12,"31",2017-08-21 07:46:00,2017-08-21 16:04:00,"8:18:21",2016-12-31
